Student,Study_Hours,Calification
1,2,45
2,3,48
3,4,50
4,2,42
5,5,53
6,4,47
7,3,44
8,5,55
9,6,58
10,4,52
11,2,46
12,3,51
13,5,49
14,4,54
15,6,56
16,3,46
17,5,52
18,2,43
19,4,49
20,6,60
21,7,62
22,8,65
23,9,68
24,7,64
25,10,70
26,8,67
27,9,72
28,7,61
29,10,74
30,8,69
31,9,71
32,7,66
33,11,73
34,10,68
35,8,63
36,9,70
37,11,76
38,7,65
39,10,72
40,8,66
41,12,78
42,13,80
43,14,85
44,12,81
45,15,88
46,13,83
47,14,87
48,16,90
49,12,79
50,15,86
51,13,84
52,14,82
53,17,92
54,16,89
55,12,80
56,15,91
57,13,86
58,14,88
59,18,94
60,16,91
61,12,77
62,13,81
63,15,89
64,17,93
65,14,84
66,16,88
67,18,95
68,13,83
69,15,87
70,17,91
71,19,96
72,18,93
73,20,97
74,19,94
75,17,90
76,18,96
77,20,98
78,19,95
79,16,92
80,17,94
81,21,98
82,20,96
83,22,99
84,21,97
85,19,93
86,22,98
87,20,95
88,21,99
89,23,100
90,22,97
91,18,92
92,20,98
93,21,96
94,23,99
95,19,95
96,22,100
97,20,97
98,21,98
99,23,100
100,24,99
