edad,ingreso_mensual,visitas_web_mes,tiempo_sitio_min,compras_previas,descuento_usado,target
25,1500,3,12.5,1,0,0
40,3000,8,20.0,5,1,1
35,2200,6,15.0,2,0,1
50,1800,2,8.0,0,0,0
28,2500,7,18.0,3,1,1
45,3200,10,25.0,6,1,1
33,2100,4,12.0,1,0,0
55,1700,1,5.0,0,0,0
30,2600,6,16.0,2,1,1
42,2800,9,22.0,4,1,1
38,2400,5,14.0,2,0,0
48,2000,3,10.0,1,0,0
29,2700,7,19.0,3,1,1
53,1600,2,7.0,0,0,0
36,2300,6,15.0,2,1,1
47,3100,8,21.0,5,1,1
31,2200,5,13.0,2,0,0
44,2900,9,23.0,4,1,1
39,2500,6,17.0,3,1,1
52,1800,2,9.0,1,0,0
